Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2009-03-15 06:17:20,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 01:06:40,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 01:07:41,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 01:08:31,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 01:18:11,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 01:18:49,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:50:11,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:53:38,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:54:03,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:55:00,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:55:37,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:56:29,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:57:39,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 03:58:34,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:05:45,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:12:16,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:13:19,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:14:48,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:15:36,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:16:01,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
